id,date,home_team,away_team,home_points,away_points
1038534,2024-03-12,San Antonio Spurs,Houston Rockets,101,103
1038535,2024-03-12,Utah Jazz,Boston Celtics,107,123
1038537,2024-03-12,Sacramento Kings,Milwaukee Bucks,129,94
1038531,2024-03-12,New York Knicks,Philadelphia 76ers,106,79
1038536,2024-03-12,LA Clippers,Minnesota Timberwolves,100,118
1038533,2024-03-12,Oklahoma City Thunder,Indiana Pacers,111,121
1038532,2024-03-12,Memphis Grizzlies,Washington Wizards,109,97
1038546,2024-03-13,Sacramento Kings,Los Angeles Lakers,120,107
1038544,2024-03-13,Dallas Mavericks,Golden State Warriors,109,99
1038545,2024-03-13,Portland Trail Blazers,Atlanta Hawks,106,102
1038540,2024-03-13,Indiana Pacers,Chicago Bulls,129,132
1038541,2024-03-13,Miami Heat,Denver Nuggets,88,100
1038542,2024-03-13,Memphis Grizzlies,Charlotte Hornets,98,110
1038543,2024-03-13,New Orleans Pelicans,Cleveland Cavaliers,95,116
1038538,2024-03-13,Detroit Pistons,Toronto Raptors,113,104
1038539,2024-03-13,Orlando Magic,Brooklyn Nets,114,106
1038549,2024-03-14,Houston Rockets,Washington Wizards,135,119
1038550,2024-03-14,Milwaukee Bucks,Philadelphia 76ers,114,105
1038551,2024-03-14,Oklahoma City Thunder,Dallas Mavericks,126,119
1038552,2024-03-14,Portland Trail Blazers,New York Knicks,93,105
1038548,2024-03-14,Chicago Bulls,LA Clippers,111,126
1038547,2024-03-14,Boston Celtics,Phoenix Suns,127,112
1038553,2024-03-15,Charlotte Hornets,Phoenix Suns,96,107
1038554,2024-03-15,Detroit Pistons,Miami Heat,95,108
1038555,2024-03-15,Toronto Raptors,Orlando Magic,103,113
1038556,2024-03-15,New Orleans Pelicans,LA Clippers,112,104
1038557,2024-03-15,San Antonio Spurs,Denver Nuggets,106,117
1038558,2024-03-15,Utah Jazz,Atlanta Hawks,124,122
1038559,2024-03-16,Houston Rockets,Cleveland Cavaliers,117,103
1038560,2024-03-16,Indiana Pacers,Brooklyn Nets,121,100
1038561,2024-03-16,Philadelphia 76ers,Charlotte Hornets,109,98
1038562,2024-03-16,New Orleans Pelicans,Portland Trail Blazers,126,107
1038564,2024-03-16,Memphis Grizzlies,Oklahoma City Thunder,112,118
1038565,2024-03-16,Los Angeles Lakers,Golden State Warriors,121,128
1038567,2024-03-16,Sacramento Kings,New York Knicks,91,98
1038563,2024-03-16,Chicago Bulls,Washington Wizards,127,98
1038566,2024-03-16,Utah Jazz,Minnesota Timberwolves,100,119
1038571,2024-03-17,Orlando Magic,Toronto Raptors,111,96
1038569,2024-03-17,Detroit Pistons,Miami Heat,101,104
1038570,2024-03-17,Dallas Mavericks,Denver Nuggets,107,105
1038573,2024-03-17,San Antonio Spurs,Brooklyn Nets,122,115
1038574,2024-03-17,LA Clippers,Atlanta Hawks,93,110
1038568,2024-03-17,Milwaukee Bucks,Phoenix Suns,140,129
1038572,2024-03-17,Washington Wizards,Boston Celtics,104,130
1038575,2024-03-18,Indiana Pacers,Cleveland Cavaliers,103,108
1038576,2024-03-18,Boston Celtics,Detroit Pistons,119,94
1038577,2024-03-18,Philadelphia 76ers,Miami Heat,98,91
1038580,2024-03-18,Golden State Warriors,New York Knicks,112,119
1038578,2024-03-18,Chicago Bulls,Portland Trail Blazers,110,107
1038579,2024-03-18,Utah Jazz,Minnesota Timberwolves,104,114
1038581,2024-03-18,Sacramento Kings,Memphis Grizzlies,121,111
1038582,2024-03-18,Los Angeles Lakers,Atlanta Hawks,136,105
1038584,2024-03-19,Washington Wizards,Houston Rockets,114,137
1038585,2024-03-19,Brooklyn Nets,New Orleans Pelicans,91,104
1038586,2024-03-19,San Antonio Spurs,Dallas Mavericks,107,113
1038587,2024-03-19,Minnesota Timberwolves,Denver Nuggets,112,115
1038583,2024-03-19,Orlando Magic,Charlotte Hornets,112,92
1038595,2024-03-20,Portland Trail Blazers,LA Clippers,103,116
1038592,2024-03-20,Oklahoma City Thunder,Utah Jazz,119,107
1038593,2024-03-20,Golden State Warriors,Memphis Grizzlies,137,116
1038594,2024-03-20,Phoenix Suns,Philadelphia 76ers,115,102
1038588,2024-03-20,Cleveland Cavaliers,Miami Heat,104,107
1038589,2024-03-20,Detroit Pistons,Indiana Pacers,103,122
1038590,2024-03-20,Boston Celtics,Milwaukee Bucks,122,119
1038591,2024-03-20,Toronto Raptors,Sacramento Kings,89,123
1038599,2024-03-21,Milwaukee Bucks,Brooklyn Nets,115,108
